bed,bath,acre_lot,zip_code,house_size,price,city
3.0,2.0,0.12,601.0,920.0,105000.0,13
4.0,2.0,0.08,601.0,1527.0,80000.0,13
2.0,1.0,0.15,795.0,748.0,67000.0,1010
4.0,2.0,0.1,731.0,1800.0,145000.0,1650
4.0,3.0,0.46,612.0,2520.0,179000.0,1821
3.0,1.0,0.2,639.0,2040.0,50000.0,392
3.0,2.0,0.08,731.0,1050.0,71600.0,1650
2.0,1.0,0.09,730.0,1092.0,100000.0,1650
5.0,3.0,7.46,670.0,5403.0,300000.0,1079
3.0,2.0,13.39,662.0,1106.0,89000.0,980
3.0,2.0,0.08,795.0,1045.0,150000.0,1010
3.0,2.0,0.1,669.0,4161.0,155000.0,1078
5.0,2.0,0.12,641.0,1620.0,79000.0,2135
5.0,5.0,0.74,731.0,2677.0,649000.0,1650
3.0,2.0,0.08,698.0,1100.0,120000.0,2384
4.0,4.0,0.22,680.0,3450.0,235000.0,1230
3.0,2.0,0.08,728.0,1500.0,105000.0,1650
3.0,2.0,3.88,685.0,4000.0,575000.0,1821
6.0,3.0,0.25,610.0,1230.0,140000.0,48
2.0,1.0,0.23,698.0,621.0,50000.0,2384
6.0,3.0,0.1,676.0,3000.0,165000.0,1299
3.0,1.0,2.0,769.0,1213.0,189000.0,416
3.0,2.0,0.05,716.0,1148.0,115000.0,1650
3.0,2.0,0.05,698.0,1118.0,122500.0,2384
3.0,2.0,0.28,685.0,1500.0,255000.0,1821
4.0,3.0,0.3,730.0,3000.0,425000.0,1650
4.0,2.0,0.11,656.0,1300.0,93000.0,836
4.0,2.0,0.04,676.0,1080.0,75000.0,1188
3.0,2.0,0.69,662.0,2505.0,469000.0,980
6.0,3.0,1.75,766.0,1943.0,189000.0,2159
5.0,4.0,0.12,717.0,1600.0,225000.0,1650
4.0,2.0,3.08,757.0,2886.0,495000.0,1832
1.0,1.0,0.1,730.0,850.0,220000.0,1650
3.0,1.0,0.23,698.0,936.0,70500.0,2384
3.0,2.0,1.13,676.0,1928.0,305000.0,1299
4.0,4.0,4.84,685.0,3690.0,475000.0,1821
